#{"t_start": 1702597504.5211623, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,247,25198.707965
2.0,396,25250.399152
0.0,464,25310.654925
0.0,122,25326.275987
0.0,122,25342.232384
2.0,368,25390.26727
2.0,197,25416.175267
3.0,419,25470.232841
2.0,222,25498.974229
7.0,644,25582.848601
1.0,218,25611.200725
7.0,432,25667.678602
2.0,355,25713.584405
1.0,279,25749.832385
0.0,122,25765.728402
1.0,151,25785.189215
3.0,323,25827.059297
1.0,214,25855.231588
0.0,188,25879.632573
0.0,122,25895.443242
3.0,701,25986.406307
3.0,541,26056.618051
1.0,189,26081.310047
0.0,122,26097.085121
11.0,488,26160.567141
2.0,339,26205.215858
2.0,350,26251.036007
0.0,172,26273.509726
2.0,738,26369.679945
0.0,122,26385.71898
4.0,382,26435.320644
7.0,434,26492.592399
0.0,122,26508.334518
11.0,496,26572.961519
0.0,122,26588.945555
2.0,213,26616.749391
2.0,466,26677.553297
1.0,625,26759.234093
2.0,292,26797.176922
0.0,122,26812.869638
0.0,122,26828.876451
7.0,476,26891.073035
2.0,262,26925.015993
3.0,240,26956.345473
2.0,286,26993.62575
0.0,122,27009.419362
4.0,478,27071.561284
7.0,592,27148.802278
3.0,516,27215.83627
1.0,150,27235.501309
2.0,276,27271.220051
3.0,348,27316.562948
3.0,261,27350.553341
1.0,214,27378.602254
1.0,161,27399.520035
2.0,261,27433.358085
1.0,151,27453.05867
2.0,576,27528.086677
1.0,176,27550.973214
2.0,495,27615.232866
7.0,319,27656.717407
0.0,189,27681.427229
2.0,283,27718.231426
1.0,150,27737.547003
0.0,122,27753.486932
0.0,122,27769.308843
0.0,122,27785.398001
3.0,232,27815.617194
2.0,216,27843.672812
0.0,122,27859.532037
1.0,287,27897.084044
3.0,407,27950.298705
0.0,123,27966.052699
7.0,352,28012.047775
2.0,452,28071.052612
3.0,369,28119.387432
0.0,122,28135.636216
4.0,266,28170.56415
1.0,150,28190.12827
3.0,468,28251.511019
2.0,378,28301.303999
0.0,122,28317.084074
1.0,323,28359.340027
1.0,150,28379.015787
2.0,315,28420.314804
0.0,122,28436.371003
0.0,122,28452.161624
2.0,198,28478.207609
4.0,439,28535.856425
1.0,461,28596.498232
0.0,122,28612.257225
11.0,697,28703.380031
9.0,521,28771.770751
0.0,122,28787.647357
1.0,168,28809.68522
1.0,262,28844.055862
7.0,390,28894.946836
8.0,536,28965.047556
7.0,498,29030.749155
2.0,296,29069.656188
0.0,122,29085.598278
0.0,188,29110.316056
7.0,522,29178.809053
4.0,329,29221.850852
4.0,364,29269.38842
2.0,200,29295.535395
1.0,182,29319.409336
11.0,642,29404.453233
3.0,340,29449.081234
11.0,570,29523.620806
2.0,328,29566.726344
2.0,181,29590.668686
0.0,122,29606.696849
3.0,322,29649.159556
3.0,328,29692.525553
2.0,468,29754.307992
1.0,150,29773.91994
4.0,436,29831.282468
3.0,267,29866.606775
2.0,657,29953.579298
1.0,230,29983.86163
0.0,164,30005.653739
0.0,122,30021.709764
3.0,285,30059.137351
1.0,150,30079.227545
4.0,430,30135.80506
3.0,234,30166.855209
0.0,185,30191.097116
11.0,456,30251.266945
3.0,318,30293.383815
3.0,615,30374.551657
1.0,232,30405.117584
2.0,289,30443.672578
1.0,419,30498.939394
2.0,471,30561.552299
1.0,291,30600.370137
3.0,381,30650.956676
3.0,272,30686.941848
1.0,179,30710.837373
0.0,293,30749.55446
0.0,143,30768.461474
4.0,478,30832.219249
2.0,393,30884.668006
2.0,194,30910.201189
0.0,122,30926.456196
2.0,274,30962.884073
3.0,349,31009.210007
0.0,173,31032.334832
0.0,125,31048.929979
2.0,331,31092.899459
1.0,252,31126.358645
1.0,211,31154.115262
1.0,226,31184.242121
5.0,654,31271.644099
1.0,275,31308.163897
1.0,376,31358.000703
3.0,349,31404.407695
1.0,305,31445.304704
0.0,446,31504.483586
3.0,229,31535.002866
3.0,288,31573.317393
0.0,122,31589.734173
2.0,200,31616.429193
3.0,522,31685.705702
1.0,273,31722.214921
1.0,186,31747.212605
3.0,329,31791.177446
3.0,322,31834.51775
0.0,232,31865.616639
4.0,277,31902.455956
0.0,146,31922.200031
5.0,511,31990.62176
2.0,252,32024.154737
